id,town,address,video,,,
010300063,ГР.БЛАГОЕВГРАД,"ГР.БЛАГОЕВГРАД, VI-ТО СУ""ИВАН ВАЗОВ"",УЛ.""ЯНЕ САНДАНСКИ"" №001",https://evideo.bg/pe202410/01.html#10300063,,,010300063
010300064,ГР.БЛАГОЕВГРАД,"ГР.БЛАГОЕВГРАД, VI-ТО СУ""ИВАН ВАЗОВ"",УЛ.""ЯНЕ САНДАНСКИ"" №001",https://evideo.bg/pe202410/01.html#10300064,,,010300064
010300065,ГР.БЛАГОЕВГРАД,"ГР.БЛАГОЕВГРАД, VI-ТО СУ""ИВАН ВАЗОВ"",УЛ.""ЯНЕ САНДАНСКИ"" №001",https://evideo.bg/pe202410/01.html#10300065,,,010300065
010300066,ГР.БЛАГОЕВГРАД,"ГР.БЛАГОЕВГРАД, VI-ТО СУ""ИВАН ВАЗОВ"",УЛ.""ЯНЕ САНДАНСКИ"" №001",https://evideo.bg/pe202410/01.html#10300066,,,010300066
010300067,ГР.БЛАГОЕВГРАД,"ГР.БЛАГОЕВГРАД, VI-ТО СУ""ИВАН ВАЗОВ"",УЛ.""ЯНЕ САНДАНСКИ"" №001",https://evideo.bg/pe202410/01.html#10300067,,,010300067
010300068,ГР.БЛАГОЕВГРАД,"ГР.БЛАГОЕВГРАД, VI-ТО СУ""ИВАН ВАЗОВ"",УЛ.""ЯНЕ САНДАНСКИ"" №001",https://evideo.bg/pe202410/01.html#10300068,,,010300068
010300069,ГР.БЛАГОЕВГРАД,"ГР.БЛАГОЕВГРАД, VI-ТО СУ""ИВАН ВАЗОВ"",УЛ.""ЯНЕ САНДАНСКИ"" №001",https://evideo.bg/pe202410/01.html#10300069,,,010300069
010300070,ГР.БЛАГОЕВГРАД,"ГР.БЛАГОЕВГРАД, VI-ТО СУ""ИВАН ВАЗОВ"",УЛ.""ЯНЕ САНДАНСКИ"" №001",https://evideo.bg/pe202410/01.html#10300070,,,010300070
010300071,ГР.БЛАГОЕВГРАД,"ГР.БЛАГОЕВГРАД, ІХ-ТО ОСН.У-ЩЕ""ПЕЙО ЯВОРОВ"" , ЖК""АЛЕН МАК""",https://evideo.bg/pe202410/01.html#10300071,,,010300071
010300072,ГР.БЛАГОЕВГРАД,"ГР.БЛАГОЕВГРАД, ІХ-ТО ОСН.У-ЩЕ""ПЕЙО ЯВОРОВ"" , ЖК""АЛЕН МАК""",https://evideo.bg/pe202410/01.html#10300072,,,010300072
010300073,ГР.БЛАГОЕВГРАД,"ГР.БЛАГОЕВГРАД, ІХ-ТО ОСН.У-ЩЕ""ПЕЙО ЯВОРОВ"" , ЖК""АЛЕН МАК""",https://evideo.bg/pe202410/01.html#10300073,,,010300073
